Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
1,2016,14,Chhattisgarh,Durg,134.18,397.48,2962.0,7.13,10.19,1429.0,7.271663242025291,0.5499877167021623,2200.1656557878932,14.390308863824291,0.0,0.0,0.02,0.05,2304.0,7.588282390387775,28.23986301105674,1001.8393581023488,0.2,0.41,2091.0,1.8057187638049754,7.373581681112796,892.0857120298501,2.5109824552474223,4.92688078736365,997.3355368762083,13.72,16.47,1200.0,1.15,0.78,677.0,10.77,10.29,955.0,14.246334965483221,14.236505211972883,2009.5478330670064,0.1,0.04,420.0,0.74,0.41,553.0,0.01,0.0,300.0,2.6529048061951093,8.719811124890896,488.88897745428545,1.0945651815894308,0.8149526029289405,625.2563203584915,0.01,0.31039573826981837,687.6499230405544,5.55,4.65,839.0,28.570643930535486,57.73814038540911,2080.171439463468,0.41,0.04,103.0,0.0,0.0,304.0,0.44,11.21,11.65,7.492219782554031,0.1,0.0
1,2017,14,Chhattisgarh,Durg,126.84,173.19,1365.0,6.78,6.94,1023.0,7.146903129794324,0.9295498855584299,1193.0645863149482,3.808764367705713,0.0,0.0,0.02,0.02,1222.0,0.02,0.01,333.0,0.45,0.84,1864.0,3.8330989676928766,10.501838033156673,622.0700282936801,2.7097517984350215,8.444450520045876,1354.0000459710686,15.04,11.41,759.0,1.34,0.43,322.0,12.57,7.04,560.0,11.07826514474067,10.542343889235042,1289.9388610240978,0.05,0.01,280.0,0.98,0.36,364.0,0.01,0.0,200.0,4.015514582184866,9.344812329166814,402.2058614335258,0.11,0.02,188.0,1.8678659974313518,0.31245862611066855,388.29916012174397,3.71,1.48,398.0,22.815072688290538,54.832301086249174,1266.8116748735538,0.32,0.0,1.0,0.0,0.0,267.0,7.019561991280826,12.415329496423412,19.435763242901388,3.3157545931372,0.01,15.42167455411851
2,2016,14,Chhattisgarh,Bastar,132.01,276.82,2097.0,0.25,0.61,2480.0,7.091026289769445,1.162409800694732,1652.4549741216292,14.390308863824291,0.0,0.0,0.18,0.34,1910.0,23.897531095469645,11.80327679955056,683.9265565406497,8.71,28.54,3276.0,1.59,0.32,202.0,2.71473632360064,8.171228678829415,979.3484092832491,0.23,0.27,1177.0,0.4,0.23,585.0,4.88,1.73,355.0,0.0,0.01,1250.0,0.2,0.11,520.0,1.48,1.03,696.0,0.2162461338012207,0.3481583639336634,294.669001950079,0.0,0.0,333.0,1.1333144833519384,0.6824592503972724,491.65922565046367,0.02,0.5799479892724833,484.31961537264624,21.78042565337026,45.53778643427438,820.8269932646334,14.31493562665933,87.65115578686974,2196.406851632307,0.86,0.19,223.0,1.3065591049151521,15.740186530443964,191.3489113021255,1.18,5.11,6.28,0.04,0.14,0.0
2,2017,14,Chhattisgarh,Bastar,131.77,173.93,1320.0,0.44,0.85,1949.0,7.784988581629072,1.1864755259216224,1841.424395293025,14.390308863824291,0.0,0.0,0.16,0.33,2122.0,22.109947515577915,9.529858312525988,736.9347186317411,9.3,30.35,3264.0,1.54,0.34,222.0,2.535607648658372,7.964396562478811,792.6816106823925,0.26,0.27,1011.0,0.38,0.19,507.0,4.98,2.12,425.0,0.0,0.01,1750.0,0.13,0.05,409.0,1.0,0.61,610.0,0.5893067041478304,0.3766451808210718,273.3995323940055,3.447527630698665,4.781034064991218,571.4124022199528,0.01,0.0,286.0,0.04,0.1406625820365548,590.2013062867121,23.543514529019234,46.94256687896291,800.380616407461,16.96681658350554,88.65465739214528,2207.059032201909,0.68,0.1,153.0,10.253143332841546,20.11981147010701,193.57654996212045,6.586521316633261,12.847893973921098,19.435826487511363,0.02,0.09,19.416721811795085
3,2016,14,Chhattisgarh,Raipur,179.5,580.98,3237.0,2.95,6.19,2097.0,7.792973118859599,4.815309744699604,1321.243964444151,10.166968170298013,0.0,0.0,15.225106811749148,4.166331334803971,1135.2832940049439,17.024743786787894,20.33663391921843,960.4205595153528,0.38,0.7,1837.0,7.833694467660667,6.2760743071245315,730.4619480840211,2.3825556822722107,7.676336455095338,2070.9805616404874,4.03,5.97,1479.0,0.39,0.18,463.0,16.08,18.07,1124.0,0.06,0.11,2036.0,0.32,0.15,480.0,1.03,0.54,526.0,0.02,0.01,412.0,1.7661363287981056,3.4342201426420615,425.005093627011,1.2372280338814363,0.5692695565264785,530.7587741468768,0.01,0.4546060733810009,916.0326410775302,0.12,0.17,1358.0,18.622304617782945,109.12855183558511,2895.225120866137,0.18,0.03,175.0,0.0,0.0,400.0,0.38,4.75,5.13,0.06,0.13,0.0
3,2017,14,Chhattisgarh,Raipur,162.42,329.78,2030.0,4.32,7.44,1725.0,6.813154281702936,3.6229347124278775,1183.3267528834579,10.08558814342279,0.0,0.0,14.192049085597134,2.604578868891764,1123.4896006121776,26.565090040757184,16.326288962979334,1005.2826803602056,0.4,0.77,1918.0,7.833694467660667,9.85466296819152,552.2228082026195,2.4625990974648913,8.289494595694066,1908.638919773766,4.19,4.98,1190.0,0.36,0.11,290.0,16.08,8.34,519.0,0.06,0.08,1306.0,0.27,0.09,315.0,1.34,0.6,451.0,0.03,0.01,379.0,3.848073544187886,6.776029100850167,403.7603080480882,0.07,0.02,247.0,1.6947205333371471,0.6374976380597843,527.8963133444284,0.15,0.08,560.0,17.155742866619185,124.16789110902491,1618.309058381163,0.17,0.04,222.0,0.0,0.0,360.0,6.844681580750342,12.590983812281827,19.43582869878948,0.06,0.12,19.416721811795085
4,2016,14,Chhattisgarh,Bilaspur,219.09,515.66,2354.0,6.19,9.93,1605.0,3.3930733697165323,1.683675744026857,1417.2051503279044,1.8682131471462782,0.0,0.0,0.31,0.48,1538.0,0.02,0.01,400.0,2.88,6.54,2272.0,7.20330167002713,11.961713801655264,919.7517310533203,0.0,0.0,1000.0,2.32,2.64,1139.0,2.0,1.05,524.0,21.48,20.68,963.0,0.96,1.83,1917.0,0.46,0.19,411.0,1.58,0.6,379.0,0.01,0.0,400.0,0.1,0.03,276.0,2.2389882634116134,0.6591309047389302,293.4610876730593,0.01,0.8020415878590083,416.78632561815016,24.58638521148316,39.23960359761759,871.3165692616449,18.009323817300896,61.28314061857685,2188.6128376833462,0.05,0.01,283.0,3.3294983484043996,8.689420254681863,53.08875521340224,0.41,5.1,5.51,0.28,0.22,0.0
4,2017,14,Chhattisgarh,Bilaspur,217.58,245.06,1126.0,6.26,9.16,1465.0,3.1117442968580846,1.9329824333279362,1243.1603148670627,3.431899171945105,0.0,0.0,0.28,0.41,1450.0,0.02,0.01,438.0,2.52,4.96,1971.0,7.9449046139914685,11.714484815982189,286.67632152539335,0.02,0.01,556.0,1.95,1.91,982.0,1.53,0.64,419.0,10.17,5.73,563.0,0.93,1.35,1453.0,0.51,0.16,313.0,1.35,0.51,375.0,0.01,0.0,250.0,3.897036829726715,6.620259213285806,292.0237115807309,0.77,0.18,235.0,0.04,0.8020415878590083,330.2736473709415,0.06,0.03,466.0,14.619409909752203,62.112359793546034,1367.9354412670746,0.06,0.0,75.0,3.524636649564684,15.011436610563038,8.744845997707003,6.986525784257752,12.449410604678974,19.435818613966376,0.18,0.12,19.416721811795085
5,2016,14,Chhattisgarh,Raigarh,243.09,560.34,2305.0,2.78,5.35,1922.0,8.619637944453409,1.2788291026211596,1780.8921166089794,14.390308863824291,0.0,0.0,0.0,0.01,2000.0,0.01,0.0,500.0,0.89,2.19,2468.0,2.651524026100617,5.059907359578915,824.9894334894361,2.4746152858386212,8.302654257085841,958.3555361484673,0.49,0.62,1260.0,2.36,1.64,692.0,25.83,9.12,353.0,6.59,11.77,1785.0,2.5,1.33,534.0,1.25,0.6,479.0,0.01,0.0,222.0,3.446580606583386,6.46243899546721,343.5243863779711,1.6041217771225291,0.32178725441980305,425.7322817196216,1.5,0.972820127437231,583.9716379725076,0.0,0.0,667.0,20.854740700053558,64.30752198866617,2018.4090349568341,0.44,0.07,156.0,1.4083501354310783,12.292290943850077,84.04762374424848,0.76,7.12,7.88,1.08,2.0612288730498327,0.0
5,2017,14,Chhattisgarh,Raigarh,227.21,407.75,1795.0,3.0,5.29,1761.0,8.229061224848856,1.425250143993452,1718.9561546530745,14.390308863824291,0.0,0.0,0.0,0.01,2000.0,0.01,0.0,429.0,0.86,2.13,2487.0,5.3564874480860425,6.907885575451928,865.137624023268,2.601660812828346,8.638374550281291,839.591750462453,0.42,0.43,1033.0,2.27,1.01,446.0,24.42,6.93,284.0,5.86,7.8,1332.0,2.49,0.99,397.0,1.29,0.61,474.0,0.01,0.0,250.0,3.502417749644885,5.875160311669504,310.44175613704164,0.27,0.07,264.0,0.7,0.29590384669744196,380.58827225885136,0.01,0.0,600.0,17.087999763149206,27.13395848608843,1951.0557042575783,0.33,0.06,193.0,2.7536845065742455,16.193324221961262,29.704145411367705,7.217545599798884,12.21749379976691,19.43580670425405,0.93,0.08,19.416721811795085
