Dist Code,Year,State Code,State Name,Dist Name,RICE IRRIGATED AREA (1000 ha),WHEAT IRRIGATED AREA (1000 ha),KHARIF SORGHUM IRRIGATED AREA (1000 ha),RABI SORGHUM IRRIGATED AREA (1000 ha),SORGHUM IRRIGATED AREA (1000 ha),PEARL MILLET IRRIGATED AREA (1000 ha),MAIZE IRRIGATED AREA (1000 ha),FINGER MILLET IRRIGATED AREA (1000 ha),BARLEY IRRIGATED AREA (1000 ha),CHICKPEA IRRIGATED AREA (1000 ha),PIGEONPEA IRRIGATED AREA (1000 ha),MINOR PULSES IRRIGATED AREA (1000 ha),PULSES IRRIGATED AREA (1000 ha),GROUNDNUT IRRIGATED AREA (1000 ha),SESAMUM IRRIGATED AREA (1000 ha),LINSEED IRRIGATED AREA (1000 ha),SUGARCANE IRRIGATED AREA (1000 ha),COTTON IRRIGATED AREA (1000 ha),FRUITS AND VEGETABLES IRRIGATED AREA (1000 ha),FODDER IRRIGATED AREA (1000 ha)
1,2016,14,Chhattisgarh,Durg,92.02,6.1,0.01,0.0,0.02,0.0,0.18,0.0,0.0,7.55,0.01,0.24,7.8,11.722834033779968,0.01,0.04687606462978414,0.41,0.02,9.88,0.026
1,2017,14,Chhattisgarh,Durg,81.806,6.292,0.001,0.0,0.001,0.005,0.391,0.0,0.0,12.571,0.019,0.415,13.005,0.0,0.015,0.033,0.319,0.049,8.509,0.014
2,2016,14,Chhattisgarh,Bastar,2.06,0.25,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.05,0.0,0.12,0.17,0.0,0.0,0.01,0.76,0.0,2.11,0.0
2,2017,14,Chhattisgarh,Bastar,2.023,0.435,0.0,0.0,0.0,0.0,1.769,0.0,0.0,0.106,0.0,0.207,0.313,0.0,0.0,0.002,0.613,0.0,2.156,0.0
3,2016,14,Chhattisgarh,Raipur,148.88,2.72,0.0,0.0,0.0,0.0,0.28,0.0,0.0,1.68,0.0,0.22,1.9,0.05,0.04,0.0,0.18,0.01,3.9,0.04
3,2017,14,Chhattisgarh,Raipur,131.62,3.901,0.0,0.0,0.0,0.0,0.32,0.0,0.0,2.568,0.022,0.355,2.945,0.046,0.063,0.03,0.168,0.013,3.985,0.013
4,2016,14,Chhattisgarh,Bilaspur,90.56,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.32,1.23,0.0,0.01,0.03,0.05,0.0,3.31,0.0
4,2017,14,Chhattisgarh,Bilaspur,94.252,5.584,0.0,0.0,0.0,0.0,0.007,0.0,0.0,1.273,0.009,0.186,1.468,0.004,0.0,0.01,0.063,0.0,2.844,0.0
5,2016,14,Chhattisgarh,Raigarh,55.7,2.77,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.0,2.28,2.43,2.37,0.01,0.0,0.44,0.0,5.06,0.0
5,2017,14,Chhattisgarh,Raigarh,48.777,2.991,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.084,0.0,1.126,1.21,1.778,0.01,0.0,0.328,0.0,4.176,0.0
