Dist Code,Year,State Code,State Name,Dist Name,TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent)
1,2016,14,Chhattisgarh,Durg,232.0,1.075122824480637,4.81,35.55,12.94,19.02,8.94,4.63,146.04,186.59,127.77
1,2017,14,Chhattisgarh,Durg,232.0,0.8617025151208306,4.06,36.15,12.75,19.69,8.95,4.73,145.6,180.89,124.24
2,2016,14,Chhattisgarh,Bastar,392.09,83.82,19.98,26.33,40.08,27.39,11.81,12.96,169.72,175.59,103.46
2,2017,14,Chhattisgarh,Bastar,388.39,85.04,18.98,26.57,38.85,25.0,11.81,12.53,169.2,175.87,103.94
3,2016,14,Chhattisgarh,Raipur,291.44,2.94,0.36,47.61,22.61,34.67,15.28,6.01,161.85,214.45,132.5
3,2017,14,Chhattisgarh,Raipur,291.44,2.94,0.33,47.66,22.59,35.28,14.98,6.26,161.3,195.37,121.12
4,2016,14,Chhattisgarh,Bilaspur,581.85,218.68,9.06,27.54,21.15,48.24,12.35,21.53,223.24,267.98,120.04
4,2017,14,Chhattisgarh,Bilaspur,581.85,218.73,9.06,30.79,16.02,48.48,13.34,22.08,223.29,251.08,112.45
5,2016,14,Chhattisgarh,Raigarh,652.77,207.68,14.34,57.52,5.33,64.34,20.72,15.51,267.33,299.87,112.17
5,2017,14,Chhattisgarh,Raigarh,652.77,207.68,14.34,57.52,5.41,64.7,20.69,29.64,252.79,279.92,110.73
6,2016,14,Chhattisgarh,Surguja,501.98,240.17,5.12,25.35,20.230338993740848,46.18,10.0,20.57,154.59,182.71,118.19
6,2017,14,Chhattisgarh,Surguja,501.98,239.64,5.13,25.66,20.230338993740848,46.37,10.81,18.73,155.64,178.6,114.75
7,2016,6,Madhya Pradesh,Jabalpur,519.76,77.65,36.92,40.49,23.29,40.04,16.75,12.03,272.45,450.64,165.4
7,2017,6,Madhya Pradesh,Jabalpur,519.76,77.64,36.96,38.41,28.68,39.97,16.87,12.18,268.9,464.66,172.8
8,2016,6,Madhya Pradesh,Balaghat,924.5,505.08,9.47,48.09,19.23,31.01,19.04,13.15,278.7,344.65,123.66
8,2017,6,Madhya Pradesh,Balaghat,924.5,505.08,9.48,48.18,21.09,31.01,16.67,15.03,277.22,334.84,120.78
9,2016,6,Madhya Pradesh,Chhindwara,1184.92,477.39,20.55,50.47,31.47,53.87,22.96,19.65,508.47,714.83,140.58
9,2017,6,Madhya Pradesh,Chhindwara,1184.92,477.39,20.82,57.23,28.49,53.7,23.84,18.87,504.5,733.79,145.45
10,2016,6,Madhya Pradesh,Narsinghpur,513.65,136.18,1.02,26.13,8.97,23.82,4.27,2.65,310.45,484.04,155.92
10,2017,6,Madhya Pradesh,Narsinghpur,513.65,136.18,1.02,26.19,10.76,23.82,3.76,2.62,309.12,480.99,155.6
11,2016,6,Madhya Pradesh,Seoni,875.4,328.54,11.83,49.74,32.71,20.47,19.7,18.48,393.91,571.08,144.98
11,2017,6,Madhya Pradesh,Seoni,875.4,328.55,11.83,49.84,34.82,20.5,19.14,23.9,386.81,594.53,153.7
12,2016,6,Madhya Pradesh,Mandla,965.56,590.27,10.74,47.42,23.56,20.08,27.49,25.89,220.04,316.51,143.84
12,2017,6,Madhya Pradesh,Mandla,965.56,593.2,10.74,44.82,25.24,20.22,27.67,27.46,216.15,320.02,148.05
13,2016,6,Madhya Pradesh,Sagar,1022.76,297.93,12.61,58.69,11.52,76.36,10.71,9.12,545.2,923.55,169.4
13,2017,6,Madhya Pradesh,Sagar,1022.76,297.93,12.61,58.69,9.1,73.7,10.07,7.64,552.42,960.09,173.8
14,2016,6,Madhya Pradesh,Damoh,728.58,267.12,59.12,32.38,9.42,35.03,3.59,2.8,319.1,585.08,183.35
14,2017,6,Madhya Pradesh,Damoh,728.58,267.12,59.12,32.38,9.43,35.03,3.48,2.62,319.37,560.64,175.55
15,2016,6,Madhya Pradesh,Tikamgarh,504.0,69.38,43.2,49.15,22.96,18.39,9.82,14.53,276.52,481.03,173.96
15,2017,6,Madhya Pradesh,Tikamgarh,504.0,69.38,51.91,40.65,16.89,28.16,9.71,29.36,257.9,379.46,147.13
16,2016,6,Madhya Pradesh,Chhatarpur,863.04,214.03,0.99,47.9,33.82,75.68,22.02,61.81,406.58,633.12,155.72
16,2017,6,Madhya Pradesh,Chhatarpur,863.04,214.21,0.94,47.98,35.44,77.37,22.47,64.64,399.8,634.02,158.58
17,2016,6,Madhya Pradesh,Panna,702.92,300.72,23.1,45.29,43.88,12.91,7.92,20.51,248.33,373.27,150.31
17,2017,6,Madhya Pradesh,Panna,702.92,306.84,20.57,45.39,5.83,47.3,7.26,37.78,231.95,412.21,177.72
18,2016,6,Madhya Pradesh,Rewa,628.75,85.41,33.63,62.73,5.59,26.32,26.89,27.69,358.44,518.57,144.67
18,2017,6,Madhya Pradesh,Rewa,628.75,85.41,33.72,64.44,5.62,25.74,25.43,27.81,357.99,516.28,144.22
19,2016,6,Madhya Pradesh,Sidhi,471.92,195.12,3.97,38.21,31.29,6.42,13.03,17.4,166.49,229.4,137.79
19,2017,6,Madhya Pradesh,Sidhi,471.92,195.12,3.97,38.26,30.9,7.54,12.97,17.18,165.98,232.78,140.25
20,2016,6,Madhya Pradesh,Satna,742.43,203.74,15.45,70.82,43.55,22.37,14.34,16.6,351.75,526.47,149.67
20,2017,6,Madhya Pradesh,Satna,742.43,203.74,16.59,43.49,68.67,19.43,16.35,20.7,349.56,611.04,174.8
21,2016,6,Madhya Pradesh,Shahdol,561.01,227.89,8.5,51.68,40.48,7.55,25.4,22.48,176.36,214.07,121.38
21,2017,6,Madhya Pradesh,Shahdol,561.01,227.89,8.5,52.5,40.35,7.78,26.1,21.29,175.93,213.09,121.12
22,2016,6,Madhya Pradesh,Gwalior,456.45,111.05,48.73,34.06,23.9,13.54,13.95,5.18,205.97,276.34,134.17
22,2017,6,Madhya Pradesh,Gwalior,456.45,111.05,47.74,33.06,25.08,15.03,21.84,8.77,193.8,259.14,133.72
23,2016,6,Madhya Pradesh,Shivpuri,984.09,330.57,37.43,63.8,55.96,24.51,12.7,6.69,448.84,691.03,153.96
23,2017,6,Madhya Pradesh,Shivpuri,984.09,330.57,37.07,62.15,45.7,24.4,10.13,7.96,462.44,775.37,167.67
24,2016,6,Madhya Pradesh,Guna,630.77,101.38,62.7,34.9,60.9,30.34,1.14,0.49,338.91,574.98,169.66
24,2017,6,Madhya Pradesh,Guna,630.77,106.66,62.77,35.79,50.77,30.19,1.19,1.83,341.54,642.39,188.09
25,2016,6,Madhya Pradesh,Datia,307.17,29.44,16.12,18.48,10.61,6.07,6.88,7.34,208.25,289.97,139.24
25,2017,6,Madhya Pradesh,Datia,307.17,29.44,16.12,18.26,10.38,6.07,6.37,6.4,210.14,324.29,154.32
