Dist Code,Year,State Code,State Name,Dist Name,LENGTH OF GROWING PERIOD DAYS (Number)
1,Not Applicable,14,Chhattisgarh,Durg,164.0
2,Not Applicable,14,Chhattisgarh,Bastar,194.0
3,Not Applicable,14,Chhattisgarh,Raipur,201.0
4,Not Applicable,14,Chhattisgarh,Bilaspur,208.0
5,Not Applicable,14,Chhattisgarh,Raigarh,201.0
6,Not Applicable,14,Chhattisgarh,Surguja,201.0
7,Not Applicable,6,Madhya Pradesh,Jabalpur,254.0
8,Not Applicable,6,Madhya Pradesh,Balaghat,201.0
9,Not Applicable,6,Madhya Pradesh,Chhindwara,231.0
10,Not Applicable,6,Madhya Pradesh,Narsinghpur,245.0
11,Not Applicable,6,Madhya Pradesh,Seoni,240.0
12,Not Applicable,6,Madhya Pradesh,Mandla,194.0
13,Not Applicable,6,Madhya Pradesh,Sagar,194.0
14,Not Applicable,6,Madhya Pradesh,Damoh,201.0
15,Not Applicable,6,Madhya Pradesh,Tikamgarh,178.0
16,Not Applicable,6,Madhya Pradesh,Chhatarpur,194.0
17,Not Applicable,6,Madhya Pradesh,Panna,280.0
18,Not Applicable,6,Madhya Pradesh,Rewa,178.0
19,Not Applicable,6,Madhya Pradesh,Sidhi,200.0
20,Not Applicable,6,Madhya Pradesh,Satna,194.0
21,Not Applicable,6,Madhya Pradesh,Shahdol,201.0
22,Not Applicable,6,Madhya Pradesh,Gwalior,217.0
23,Not Applicable,6,Madhya Pradesh,Shivpuri,210.0
24,Not Applicable,6,Madhya Pradesh,Guna,224.0
25,Not Applicable,6,Madhya Pradesh,Datia,210.0
26,Not Applicable,6,Madhya Pradesh,Morena,210.0
27,Not Applicable,6,Madhya Pradesh,Bhind,217.0
28,Not Applicable,6,Madhya Pradesh,Indore,194.0
29,Not Applicable,6,Madhya Pradesh,Ratlam,194.0
30,Not Applicable,6,Madhya Pradesh,Ujjain,194.0
31,Not Applicable,6,Madhya Pradesh,Mandsaur,190.0
32,Not Applicable,6,Madhya Pradesh,Dewas,210.0
33,Not Applicable,6,Madhya Pradesh,Dhar,178.0
34,Not Applicable,6,Madhya Pradesh,Jhabua,170.0
35,Not Applicable,6,Madhya Pradesh,Khargone,195.0
36,Not Applicable,6,Madhya Pradesh,Khandwa,201.0
37,Not Applicable,6,Madhya Pradesh,Sehore,210.0
38,Not Applicable,6,Madhya Pradesh,Raisen,224.0
39,Not Applicable,6,Madhya Pradesh,Vidisha,220.0
40,Not Applicable,6,Madhya Pradesh,Betul,229.0
41,Not Applicable,6,Madhya Pradesh,Rajgarh,201.0
42,Not Applicable,6,Madhya Pradesh,Shajapur,210.0
43,Not Applicable,6,Madhya Pradesh,Hoshangabad,224.0
44,Not Applicable,1,Andhra Pradesh,Srikakulam,185.0
45,Not Applicable,1,Andhra Pradesh,Visakhapatnam,171.0
46,Not Applicable,1,Andhra Pradesh,East Godavari,229.0
47,Not Applicable,1,Andhra Pradesh,West Godavari,210.0
48,Not Applicable,1,Andhra Pradesh,Krishna,185.0
49,Not Applicable,1,Andhra Pradesh,Guntur,164.0
50,Not Applicable,1,Andhra Pradesh,S.P.S.Nellore,134.0
51,Not Applicable,1,Andhra Pradesh,Kurnool,148.0
52,Not Applicable,1,Andhra Pradesh,Anantapur,120.0
53,Not Applicable,1,Andhra Pradesh,Kadapa YSR,165.0
54,Not Applicable,1,Andhra Pradesh,Chittoor,164.0
55,Not Applicable,20,Telangana,Hyderabad,150.0
56,Not Applicable,20,Telangana,Nizamabad,141.0
57,Not Applicable,20,Telangana,Medak,165.0
58,Not Applicable,20,Telangana,Mahabubnagar,141.0
59,Not Applicable,20,Telangana,Nalgonda,175.0
60,Not Applicable,20,Telangana,Warangal,201.0
61,Not Applicable,20,Telangana,Khammam,185.0
62,Not Applicable,20,Telangana,Karimnagar,182.0
63,Not Applicable,20,Telangana,Adilabad,178.0
