Dist Code,Year,State Code,State Name,Dist Name,NITROGEN KHARIF CONSUMPTION (tons),NITROGEN RABI CONSUMPTION (tons),PHOSPHATE KHARIF CONSUMPTION (tons),PHOSPHATE RABI CONSUMPTION (tons),POTASH KHARIF CONSUMPTION (tons),POTASH RABI CONSUMPTION (tons),TOTAL KHARIF CONSUMPTION (tons),TOTAL RABI CONSUMPTION (tons)
1,2016,14,Chhattisgarh,Durg,20089.0,2516.0,2884.0,1842.0,10032.0,32637.0,3887.0,8613.0
1,2017,14,Chhattisgarh,Durg,13609.0,3185.0,3854.0,511.0,6244.0,23038.0,1800.0,6165.0
2,2016,14,Chhattisgarh,Bastar,3510.0,935.0,1850.0,603.0,2568.0,7013.0,1304.0,3757.0
2,2017,14,Chhattisgarh,Bastar,3506.0,764.0,1835.0,537.0,2434.0,6704.0,1063.0,3435.0
3,2016,14,Chhattisgarh,Raipur,24451.0,2430.0,4606.0,2288.0,8910.0,35791.0,6971.0,13865.0
3,2017,14,Chhattisgarh,Raipur,20207.0,2897.0,6939.0,911.0,9096.0,32200.0,5116.0,12966.0
4,2016,14,Chhattisgarh,Bilaspur,19040.0,1788.0,9327.0,1662.0,8082.0,28910.0,3787.0,14776.0
4,2017,14,Chhattisgarh,Bilaspur,20131.0,1482.0,5889.0,860.0,6067.0,27680.0,2220.0,8969.0
5,2016,14,Chhattisgarh,Raigarh,15192.0,2093.0,7427.0,2816.0,8699.0,25984.0,5874.0,16117.0
5,2017,14,Chhattisgarh,Raigarh,16815.0,2256.0,12550.0,1050.0,8319.0,27390.0,3784.0,17384.0
6,2016,14,Chhattisgarh,Surguja,9115.0,1274.0,6076.0,763.0,4206.0,14595.0,3020.0,9859.0
6,2017,14,Chhattisgarh,Surguja,6843.0,1573.0,1205.0,747.0,3704.0,12120.0,560.0,2512.0
7,2016,6,Madhya Pradesh,Jabalpur,18186.0,811.0,28520.0,738.0,7034.0,26031.0,9173.0,38431.0
7,2017,6,Madhya Pradesh,Jabalpur,14692.0,881.0,24349.0,971.0,8296.0,23869.0,10542.0,35862.0
8,2016,6,Madhya Pradesh,Balaghat,12719.0,297.0,2515.0,64.0,7635.0,20651.0,1735.0,4314.0
8,2017,6,Madhya Pradesh,Balaghat,13974.0,560.0,4325.0,15.0,9656.0,24190.0,1032.0,5372.0
9,2016,6,Madhya Pradesh,Chhindwara,42858.0,4162.0,17942.0,1388.0,12326.0,59346.0,6720.0,26050.0
9,2017,6,Madhya Pradesh,Chhindwara,38021.0,5327.0,19497.0,1191.0,13489.0,56837.0,6619.0,27307.0
10,2016,6,Madhya Pradesh,Narsinghpur,6457.0,425.0,12660.0,1567.0,3153.0,10035.0,6238.0,20465.0
10,2017,6,Madhya Pradesh,Narsinghpur,7552.0,674.0,14079.0,1363.0,3255.0,11481.0,7173.0,22615.0
11,2016,6,Madhya Pradesh,Seoni,20322.0,692.0,14836.0,388.0,6334.0,27348.0,4456.0,19680.0
11,2017,6,Madhya Pradesh,Seoni,32117.0,1216.0,16387.0,617.0,9028.0,42361.0,4221.0,21225.0
12,2016,6,Madhya Pradesh,Mandla,6209.0,118.0,3359.0,34.0,2161.0,8488.0,1311.0,4704.0
12,2017,6,Madhya Pradesh,Mandla,6051.0,106.0,3125.0,21.0,2404.0,8561.0,847.0,3993.0
13,2016,6,Madhya Pradesh,Sagar,3327.0,128.0,15285.0,530.0,5227.0,8682.0,10397.0,26212.0
13,2017,6,Madhya Pradesh,Sagar,3780.0,190.0,16619.0,316.0,6445.0,10415.0,11065.0,28000.0
14,2016,6,Madhya Pradesh,Damoh,3153.0,28.0,6221.0,42.0,3512.0,6693.0,4045.0,10308.0
14,2017,6,Madhya Pradesh,Damoh,3915.0,26.0,6719.0,89.0,4508.0,8449.0,5025.0,11833.0
15,2016,6,Madhya Pradesh,Tikamgarh,1736.0,126.0,11132.0,135.0,1147.0,3009.0,4380.0,15647.0
15,2017,6,Madhya Pradesh,Tikamgarh,1752.0,93.0,6605.0,5.0,1070.0,2915.0,2792.0,9402.0
16,2016,6,Madhya Pradesh,Chhatarpur,3271.0,110.0,16080.0,39.0,4350.0,7731.0,7908.0,24027.0
16,2017,6,Madhya Pradesh,Chhatarpur,4454.0,60.0,10111.0,79.0,4880.0,9394.0,6279.0,16469.0
17,2016,6,Madhya Pradesh,Panna,2925.0,2.0,3919.0,40.0,2389.0,5316.0,2309.0,6268.0
17,2017,6,Madhya Pradesh,Panna,2478.0,39.0,4137.0,15.0,1380.0,3897.0,3113.0,7265.0
18,2016,6,Madhya Pradesh,Rewa,8484.0,81.0,14719.0,74.0,2981.0,11546.0,6575.0,21368.0
18,2017,6,Madhya Pradesh,Rewa,12125.0,79.0,13999.0,121.0,6079.0,18283.0,5769.0,19889.0
19,2016,6,Madhya Pradesh,Sidhi,1655.0,14.0,2787.0,8.0,550.0,2219.0,1389.0,4184.0
19,2017,6,Madhya Pradesh,Sidhi,2202.0,4.0,3148.0,18.0,888.0,3094.0,1354.0,4520.0
20,2016,6,Madhya Pradesh,Satna,9291.0,47.0,19402.0,145.0,4955.0,14293.0,9947.0,29494.0
20,2017,6,Madhya Pradesh,Satna,12471.0,134.0,16596.0,219.0,6249.0,18854.0,8835.0,25650.0
21,2016,6,Madhya Pradesh,Shahdol,2757.0,27.0,2892.0,34.0,1453.0,4237.0,1595.0,4521.0
