Dist Code,Year,State Code,State Name,Dist Name,CANALS AREA (1000 ha),TANKS AREA (1000 ha),TUBE WELLS AREA (1000 ha),OTHER WELLS AREA (1000 ha),TOTAL WELLS AREA (1000 ha),OTHER SOURCES AREA (1000 ha),NET AREA (1000 ha),GROSS AREA (1000 ha)
1,2016,14,Chhattisgarh,Durg,56.09,1.54,30.9,0.59,31.49,4.99,94.11,117.5
1,2017,14,Chhattisgarh,Durg,29.5342440366242,4.292357329302385,70.09719010583348,21.319096667277794,90.46250039392788,7.218734108339382,128.84419895288067,182.92553705810496
2,2016,14,Chhattisgarh,Bastar,1.17,0.45,2.63,0.15,2.78,2.56,6.96,6.96
2,2017,14,Chhattisgarh,Bastar,29.5342440366242,4.292357329302385,70.09719010583348,21.319096667277794,90.46250039392788,7.218734108339382,128.84419895288067,182.92553705810496
3,2016,14,Chhattisgarh,Raipur,113.31,3.18,20.41,0.33,20.74,2.34,139.57,158.92
3,2017,14,Chhattisgarh,Raipur,29.5342440366242,4.292357329302385,70.09719010583348,21.319096667277794,90.46250039392788,7.218734108339382,128.84419895288067,182.92553705810496
4,2016,14,Chhattisgarh,Bilaspur,55.49,2.55,21.73,2.36,24.09,0.01,82.13,100.66
4,2017,14,Chhattisgarh,Bilaspur,29.5342440366242,4.292357329302385,70.09719010583348,21.319096667277794,90.46250039392788,7.218734108339382,128.84419895288067,182.92553705810496
5,2016,14,Chhattisgarh,Raigarh,18.63,4.72,32.31,0.77,33.09,7.2,63.64,71.96
5,2017,14,Chhattisgarh,Raigarh,29.5342440366242,4.292357329302385,70.09719010583348,21.319096667277794,90.46250039392788,7.218734108339382,128.84419895288067,182.92553705810496
6,2016,14,Chhattisgarh,Surguja,6.88,0.36,0.39,0.85,1.23,7.88,16.36,17.58
6,2017,14,Chhattisgarh,Surguja,29.5342440366242,4.292357329302385,70.09719010583348,21.319096667277794,90.46250039392788,7.218734108339382,128.84419895288067,182.92553705810496
7,2016,6,Madhya Pradesh,Jabalpur,47.01,0.78,97.24,30.9,128.14,23.38,199.3,244.52
7,2017,6,Madhya Pradesh,Jabalpur,56.58,0.78,117.92,38.45,156.37,24.55,238.28,283.54
8,2016,6,Madhya Pradesh,Balaghat,86.46,19.8,7.39,26.25,33.64,12.32,152.21,176.91
8,2017,6,Madhya Pradesh,Balaghat,79.97,22.9,6.61,22.66,29.27,12.51,144.64,170.66
9,2016,6,Madhya Pradesh,Chhindwara,17.08,4.7,48.41,142.79,191.2,7.49,220.47,220.47
9,2017,6,Madhya Pradesh,Chhindwara,25.44,4.71,50.36,155.35,205.71,9.48,245.35,245.35
10,2016,6,Madhya Pradesh,Narsinghpur,8.88,0.01,234.39,36.96,271.35,19.25,299.48,299.83
10,2017,6,Madhya Pradesh,Narsinghpur,8.88,0.01,230.11,36.96,267.07,19.25,295.21,297.24
