Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
1,2016,14,Chhattisgarh,Durg,22973.0,55.69,157.31,123.12,13919.0,33.74,95.31,74.6,4358.0,10.56,29.84,23.36,41250.0,282.46,221.07
1,2017,14,Chhattisgarh,Durg,17463.0,59.8,119.94,96.54,8044.0,27.55,55.25,44.47,3696.0,12.66,25.38,20.43,29203.0,200.57,161.44
2,2016,14,Chhattisgarh,Bastar,5360.0,49.77,31.58,30.53,3872.0,35.95,22.81,22.05,1538.0,14.28,9.06,8.76,10770.0,63.46,61.34
2,2017,14,Chhattisgarh,Bastar,5341.0,52.68,31.57,30.37,3497.0,34.49,20.67,19.88,1301.0,12.83,7.69,7.4,10139.0,59.92,57.65
3,2016,14,Chhattisgarh,Raipur,29057.0,58.52,179.53,135.49,15881.0,31.98,98.12,74.05,4718.0,9.5,29.15,22.0,49656.0,306.8,231.55
3,2017,14,Chhattisgarh,Raipur,27146.0,60.1,168.3,138.95,14212.0,31.47,88.11,72.75,3808.0,8.43,23.61,19.49,45166.0,280.01,231.19
4,2016,14,Chhattisgarh,Bilaspur,28367.0,64.93,127.07,105.86,11869.0,27.17,53.17,44.29,3450.0,7.9,15.45,12.87,43686.0,195.7,163.02
4,2017,14,Chhattisgarh,Bilaspur,26020.0,71.0,116.53,103.63,8287.0,22.61,37.11,33.01,2342.0,6.39,10.49,9.33,36649.0,164.13,145.97
5,2016,14,Chhattisgarh,Raigarh,22619.0,53.73,84.61,75.43,14573.0,34.61,54.51,48.6,4909.0,11.66,18.36,16.37,42101.0,157.49,140.4
5,2017,14,Chhattisgarh,Raigarh,29365.0,65.58,116.16,104.91,12103.0,27.03,47.88,43.24,3306.0,7.38,13.08,11.81,44774.0,177.12,159.96
6,2016,14,Chhattisgarh,Surguja,15191.0,62.12,98.27,83.14,7226.0,29.55,46.74,39.55,2037.0,8.33,13.18,11.15,24454.0,158.19,133.84
6,2017,14,Chhattisgarh,Surguja,8048.0,55.0,51.71,45.06,4264.0,29.14,27.4,23.87,2320.0,15.86,14.91,12.99,14632.0,94.01,81.93
7,2016,6,Madhya Pradesh,Jabalpur,46706.0,72.46,171.43,103.64,16207.0,25.14,59.49,35.96,1549.0,2.4,5.69,3.44,64462.0,236.6,143.05
7,2017,6,Madhya Pradesh,Jabalpur,39041.0,65.36,145.19,84.02,18838.0,31.54,70.06,40.54,1852.0,3.1,6.89,3.99,59731.0,222.13,128.55
8,2016,6,Madhya Pradesh,Balaghat,15234.0,61.02,54.66,44.2,9370.0,37.53,33.62,27.19,361.0,1.45,1.3,1.05,24965.0,89.58,72.44
8,2017,6,Madhya Pradesh,Balaghat,18299.0,61.9,66.01,54.65,10688.0,36.15,38.55,31.92,575.0,1.95,2.07,1.72,29562.0,106.64,88.29
9,2016,6,Madhya Pradesh,Chhindwara,60800.0,71.2,119.58,85.05,19046.0,22.3,37.46,26.64,5550.0,6.5,10.92,7.76,85396.0,167.95,119.46
9,2017,6,Madhya Pradesh,Chhindwara,57518.0,68.36,114.01,78.39,20108.0,23.9,39.86,27.4,6518.0,7.75,12.92,8.88,84144.0,166.79,114.67
10,2016,6,Madhya Pradesh,Narsinghpur,19117.0,62.68,61.58,39.5,9391.0,30.79,30.25,19.4,1992.0,6.53,6.42,4.12,30500.0,98.25,63.01
10,2017,6,Madhya Pradesh,Narsinghpur,21631.0,63.44,69.98,44.97,10428.0,30.58,33.73,21.68,2037.0,5.97,6.59,4.24,34096.0,110.3,70.89
11,2016,6,Madhya Pradesh,Seoni,35158.0,74.76,89.26,61.56,10790.0,22.94,27.39,18.89,1080.0,2.3,2.74,1.89,47028.0,119.39,82.35
11,2017,6,Madhya Pradesh,Seoni,48504.0,76.28,125.4,81.58,13249.0,20.84,34.25,22.28,1833.0,2.88,4.74,3.08,63586.0,164.39,106.95
12,2016,6,Madhya Pradesh,Mandla,9568.0,72.53,43.48,30.23,3472.0,26.32,15.78,10.97,152.0,1.15,0.69,0.48,13192.0,59.95,41.68
12,2017,6,Madhya Pradesh,Mandla,9176.0,73.09,42.45,28.67,3251.0,25.9,15.04,10.16,127.0,1.01,0.59,0.4,12554.0,58.08,39.23
13,2016,6,Madhya Pradesh,Sagar,18612.0,53.34,34.14,20.15,15624.0,44.78,28.66,16.92,658.0,1.89,1.21,0.71,34894.0,64.0,37.78
13,2017,6,Madhya Pradesh,Sagar,20399.0,53.1,36.93,21.25,17510.0,45.58,31.7,18.24,506.0,1.32,0.92,0.53,38415.0,69.54,40.01
14,2016,6,Madhya Pradesh,Damoh,9374.0,55.14,29.38,16.02,7557.0,44.45,23.68,12.92,70.0,0.41,0.22,0.12,17001.0,53.28,29.06
14,2017,6,Madhya Pradesh,Damoh,10634.0,52.43,33.3,18.97,9533.0,47.0,29.85,17.0,115.0,0.57,0.36,0.21,20282.0,63.51,36.18
