Dist Code,Year,State Code,State Name,Dist Name,DISTRICT MALE FIELD LABOUR (Rs per Day),DISTRICT FEMALE FIELD LABOUR (Rs per Day),STATE MALE AVERAGE FIELD LABOUR (Rs per Day),STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day)
1,2016,14,Chhattisgarh,Durg,260.0,226.0974834437092,201.0,226.09748344370936
1,2017,14,Chhattisgarh,Durg,246.0,226.09748344370834,200.0,226.09748344370823
2,2016,14,Chhattisgarh,Bastar,150.0,226.09748344370198,201.0,226.09748344369976
2,2017,14,Chhattisgarh,Bastar,262.5,226.0974834437094,200.0,226.09748344370965
3,2016,14,Chhattisgarh,Raipur,300.0,226.09748344371184,201.0,226.0974834437129
3,2017,14,Chhattisgarh,Raipur,300.0,226.09748344371187,200.0,226.09748344371295
4,2016,14,Chhattisgarh,Bilaspur,300.0,226.09748344371184,201.0,226.0974834437129
4,2017,14,Chhattisgarh,Bilaspur,300.0,226.09748344371187,200.0,226.09748344371295
5,2016,14,Chhattisgarh,Raigarh,189.17,226.0974834437046,201.0,226.09748344370323
5,2017,14,Chhattisgarh,Raigarh,253.64,226.09748344370885,200.0,226.0974834437089
6,2016,14,Chhattisgarh,Surguja,235.0,226.09748344370757,201.0,226.0974834437072
6,2017,14,Chhattisgarh,Surguja,219.60008392511554,226.09748344370658,200.0,226.0974834437059
7,2016,6,Madhya Pradesh,Jabalpur,261.43,226.09748344370837,230.0,226.09748344370828
7,2017,6,Madhya Pradesh,Jabalpur,341.67,226.09748344371312,246.0,226.0974834437146
8,2016,6,Madhya Pradesh,Balaghat,150.0,226.09748344370107,230.0,226.09748344369856
8,2017,6,Madhya Pradesh,Balaghat,150.0,226.09748344370055,246.0,226.09748344369788
9,2016,6,Madhya Pradesh,Chhindwara,200.0,226.09748344370436,230.0,226.09748344370294
9,2017,6,Madhya Pradesh,Chhindwara,242.73,226.0974834437066,246.0,226.09748344370595
10,2016,6,Madhya Pradesh,Narsinghpur,174.29,226.09748344370269,230.0,226.09748344370072
10,2017,6,Madhya Pradesh,Narsinghpur,178.89,226.09748344370243,246.0,226.09748344370038
11,2016,6,Madhya Pradesh,Seoni,150.0,226.09748344370107,230.0,226.09748344369856
11,2017,6,Madhya Pradesh,Seoni,150.0,226.09748344370055,246.0,226.09748344369788
12,2016,6,Madhya Pradesh,Mandla,150.0,226.09748344370107,230.0,226.09748344369856
12,2017,6,Madhya Pradesh,Mandla,150.0,226.09748344370055,246.0,226.09748344369788
13,2016,6,Madhya Pradesh,Sagar,251.45164807913466,226.09748344370772,230.0,226.09748344370743
13,2017,6,Madhya Pradesh,Sagar,268.4391489612782,226.0974834437083,246.0,226.09748344370823
14,2016,6,Madhya Pradesh,Damoh,141.0,226.09748344370047,230.0,226.09748344369777
14,2017,6,Madhya Pradesh,Damoh,150.0,226.09748344370055,246.0,226.09748344369788
15,2016,6,Madhya Pradesh,Tikamgarh,650.0,226.09748344373378,230.0,226.0974834437421
15,2017,6,Madhya Pradesh,Tikamgarh,625.0,226.0974834437316,246.0,226.0974834437392
16,2016,6,Madhya Pradesh,Chhatarpur,200.0,226.09748344370436,230.0,226.09748344370294
16,2017,6,Madhya Pradesh,Chhatarpur,200.0,226.09748344370385,246.0,226.09748344370226
17,2016,6,Madhya Pradesh,Panna,200.0,226.09748344370436,230.0,226.09748344370294
17,2017,6,Madhya Pradesh,Panna,200.0,226.09748344370385,246.0,226.09748344370226
18,2016,6,Madhya Pradesh,Rewa,300.0,226.09748344371093,230.0,226.0974834437117
18,2017,6,Madhya Pradesh,Rewa,300.0,226.09748344371042,246.0,226.097483443711
19,2016,6,Madhya Pradesh,Sidhi,271.43,226.09748344370905,230.0,226.0974834437092
19,2017,6,Madhya Pradesh,Sidhi,300.0,226.09748344371042,246.0,226.097483443711
20,2016,6,Madhya Pradesh,Satna,204.55,226.09748344370465,230.0,226.09748344370334
20,2017,6,Madhya Pradesh,Satna,200.0,226.09748344370385,246.0,226.09748344370226
21,2016,6,Madhya Pradesh,Shahdol,201.67,226.09748344370448,230.0,226.0974834437031
21,2017,6,Madhya Pradesh,Shahdol,210.0,226.09748344370448,246.0,226.0974834437031
22,2016,6,Madhya Pradesh,Gwalior,300.0,226.09748344371093,230.0,226.0974834437117
22,2017,6,Madhya Pradesh,Gwalior,300.0,226.09748344371042,246.0,226.097483443711
23,2016,6,Madhya Pradesh,Shivpuri,335.0,226.0974834437132,230.0,226.0974834437147
23,2017,6,Madhya Pradesh,Shivpuri,300.0,226.09748344371042,246.0,226.097483443711
24,2016,6,Madhya Pradesh,Guna,400.0,226.09748344371746,230.0,226.0974834437204
24,2017,6,Madhya Pradesh,Guna,420.0,226.09748344371823,246.0,226.09748344372142
25,2016,6,Madhya Pradesh,Datia,300.0,226.09748344371093,230.0,226.0974834437117
25,2017,6,Madhya Pradesh,Datia,300.0,226.09748344371042,246.0,226.097483443711
26,2016,6,Madhya Pradesh,Morena,251.45164807913466,226.09748344370772,230.0,226.09748344370743
26,2017,6,Madhya Pradesh,Morena,475.0,226.0974834437218,246.0,226.0974834437262
27,2016,6,Madhya Pradesh,Bhind,300.0,226.09748344371093,230.0,226.0974834437117
27,2017,6,Madhya Pradesh,Bhind,300.0,226.09748344371042,246.0,226.097483443711
28,2016,6,Madhya Pradesh,Indore,300.0,226.09748344371093,230.0,226.0974834437117
28,2017,6,Madhya Pradesh,Indore,350.0,226.09748344371366,246.0,226.09748344371533
29,2016,6,Madhya Pradesh,Ratlam,300.0,226.09748344371093,230.0,226.0974834437117
29,2017,6,Madhya Pradesh,Ratlam,220.0,226.09748344370516,246.0,226.09748344370402
30,2016,6,Madhya Pradesh,Ujjain,200.0,226.09748344370436,230.0,226.09748344370294
30,2017,6,Madhya Pradesh,Ujjain,200.0,226.09748344370385,246.0,226.09748344370226
31,2016,6,Madhya Pradesh,Mandsaur,251.45164807913466,226.09748344370772,230.0,226.09748344370743
31,2017,6,Madhya Pradesh,Mandsaur,268.4391489612782,226.0974834437083,246.0,226.09748344370823
32,2016,6,Madhya Pradesh,Dewas,316.67,226.09748344371195,230.0,226.09748344371306
32,2017,6,Madhya Pradesh,Dewas,350.0,226.09748344371366,246.0,226.09748344371533
33,2016,6,Madhya Pradesh,Dhar,296.0,226.09748344371067,230.0,226.09748344371135
33,2017,6,Madhya Pradesh,Dhar,283.33,226.0974834437093,246.0,226.09748344370954
34,2016,6,Madhya Pradesh,Jhabua,200.0,226.09748344370436,230.0,226.09748344370294
34,2017,6,Madhya Pradesh,Jhabua,200.0,226.09748344370385,246.0,226.09748344370226
35,2016,6,Madhya Pradesh,Khargone,250.0,226.09748344370763,230.0,226.09748344370732
35,2017,6,Madhya Pradesh,Khargone,250.0,226.09748344370712,246.0,226.09748344370664
36,2016,6,Madhya Pradesh,Khandwa,251.45164807913466,226.09748344370772,230.0,226.09748344370743
36,2017,6,Madhya Pradesh,Khandwa,268.4391489612782,226.0974834437083,246.0,226.09748344370823
37,2016,6,Madhya Pradesh,Sehore,220.0,226.09748344370567,230.0,226.0974834437047
37,2017,6,Madhya Pradesh,Sehore,208.0,226.0974834437044,246.0,226.097483443703
38,2016,6,Madhya Pradesh,Raisen,251.45164807913466,226.09748344370772,230.0,226.09748344370743
38,2017,6,Madhya Pradesh,Raisen,268.4391489612782,226.0974834437083,246.0,226.09748344370823
