"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"1","2016","14","Chhattisgarh","Durg","134.18","397.48","2962.0","7.13","10.19","1429.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.02","0.05","2304.0","-1.0","-1.0","-1.0","0.2","0.41","2091.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","13.72","16.47","1200.0","1.15","0.78","677.0","10.77","10.29","955.0","-1.0","-1.0","-1.0","0.1","0.04","420.0","0.74","0.41","553.0","0.01","0.0","300.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.01","-1.0","-1.0","5.55","4.65","839.0","-1.0","-1.0","-1.0","0.41","0.04","103.0","0.0","0.0","304.0","0.44","11.21","11.65","-1.0","0.1","0.0"
"1","2017","14","Chhattisgarh","Durg","126.84","173.19","1365.0","6.78","6.94","1023.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.02","0.02","1222.0","0.02","0.01","333.0","0.45","0.84","1864.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","15.04","11.41","759.0","1.34","0.43","322.0","12.57","7.04","560.0","-1.0","-1.0","-1.0","0.05","0.01","280.0","0.98","0.36","364.0","0.01","0.0","200.0","-1.0","-1.0","-1.0","0.11","0.02","188.0","-1.0","-1.0","-1.0","3.71","1.48","398.0","-1.0","-1.0","-1.0","0.32","0.0","1.0","0.0","0.0","267.0","-1.0","-1.0","-1.0","-1.0","0.01","-1.0"
"2","2016","14","Chhattisgarh","Bastar","132.01","276.82","2097.0","0.25","0.61","2480.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.18","0.34","1910.0","-1.0","-1.0","-1.0","8.71","28.54","3276.0","1.59","0.32","202.0","-1.0","-1.0","-1.0","0.23","0.27","1177.0","0.4","0.23","585.0","4.88","1.73","355.0","0.0","0.01","1250.0","0.2","0.11","520.0","1.48","1.03","696.0","-1.0","-1.0","-1.0","0.0","0.0","333.0","-1.0","-1.0","-1.0","0.02","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.86","0.19","223.0","-1.0","-1.0","-1.0","1.18","5.11","6.28","0.04","0.14","0.0"
"2","2017","14","Chhattisgarh","Bastar","131.77","173.93","1320.0","0.44","0.85","1949.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.16","0.33","2122.0","-1.0","-1.0","-1.0","9.3","30.35","3264.0","1.54","0.34","222.0","-1.0","-1.0","-1.0","0.26","0.27","1011.0","0.38","0.19","507.0","4.98","2.12","425.0","0.0","0.01","1750.0","0.13","0.05","409.0","1.0","0.61","610.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.01","0.0","286.0","0.04","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.68","0.1","153.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.02","0.09","-1.0"
"3","2016","14","Chhattisgarh","Raipur","179.5","580.98","3237.0","2.95","6.19","2097.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.38","0.7","1837.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","4.03","5.97","1479.0","0.39","0.18","463.0","16.08","18.07","1124.0","0.06","0.11","2036.0","0.32","0.15","480.0","1.03","0.54","526.0","0.02","0.01","412.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.01","-1.0","-1.0","0.12","0.17","1358.0","-1.0","-1.0","-1.0","0.18","0.03","175.0","0.0","0.0","400.0","0.38","4.75","5.13","0.06","0.13","0.0"
"3","2017","14","Chhattisgarh","Raipur","162.42","329.78","2030.0","4.32","7.44","1725.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.4","0.77","1918.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","4.19","4.98","1190.0","0.36","0.11","290.0","16.08","8.34","519.0","0.06","0.08","1306.0","0.27","0.09","315.0","1.34","0.6","451.0","0.03","0.01","379.0","-1.0","-1.0","-1.0","0.07","0.02","247.0","-1.0","-1.0","-1.0","0.15","0.08","560.0","-1.0","-1.0","-1.0","0.17","0.04","222.0","0.0","0.0","360.0","-1.0","-1.0","-1.0","0.06","0.12","-1.0"
"4","2016","14","Chhattisgarh","Bilaspur","219.09","515.66","2354.0","6.19","9.93","1605.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.31","0.48","1538.0","0.02","0.01","400.0","2.88","6.54","2272.0","-1.0","-1.0","-1.0","0.0","0.0","1000.0","2.32","2.64","1139.0","2.0","1.05","524.0","21.48","20.68","963.0","0.96","1.83","1917.0","0.46","0.19","411.0","1.58","0.6","379.0","0.01","0.0","400.0","0.1","0.03","276.0","-1.0","-1.0","-1.0","0.01","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.05","0.01","283.0","-1.0","-1.0","-1.0","0.41","5.1","5.51","0.28","0.22","0.0"
"4","2017","14","Chhattisgarh","Bilaspur","217.58","245.06","1126.0","6.26","9.16","1465.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.28","0.41","1450.0","0.02","0.01","438.0","2.52","4.96","1971.0","-1.0","-1.0","-1.0","0.02","0.01","556.0","1.95","1.91","982.0","1.53","0.64","419.0","10.17","5.73","563.0","0.93","1.35","1453.0","0.51","0.16","313.0","1.35","0.51","375.0","0.01","0.0","250.0","-1.0","-1.0","-1.0","0.77","0.18","235.0","0.04","-1.0","-1.0","0.06","0.03","466.0","-1.0","-1.0","-1.0","0.06","0.0","75.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.18","0.12","-1.0"
"5","2016","14","Chhattisgarh","Raigarh","243.09","560.34","2305.0","2.78","5.35","1922.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.01","2000.0","0.01","0.0","500.0","0.89","2.19","2468.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.49","0.62","1260.0","2.36","1.64","692.0","25.83","9.12","353.0","6.59","11.77","1785.0","2.5","1.33","534.0","1.25","0.6","479.0","0.01","0.0","222.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1.5","-1.0","-1.0","0.0","0.0","667.0","-1.0","-1.0","-1.0","0.44","0.07","156.0","-1.0","-1.0","-1.0","0.76","7.12","7.88","1.08","-1.0","0.0"
"5","2017","14","Chhattisgarh","Raigarh","227.21","407.75","1795.0","3.0","5.29","1761.0","-1.0","-1.0","-1.0","-1.0","0.0","0.0","0.0","0.01","2000.0","0.01","0.0","429.0","0.86","2.13","2487.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.42","0.43","1033.0","2.27","1.01","446.0","24.42","6.93","284.0","5.86","7.8","1332.0","2.49","0.99","397.0","1.29","0.61","474.0","0.01","0.0","250.0","-1.0","-1.0","-1.0","0.27","0.07","264.0","0.7","-1.0","-1.0","0.01","0.0","600.0","-1.0","-1.0","-1.0","0.33","0.06","193.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.93","0.08","-1.0"
