"Dist Code","Year","State Code","State Name","Dist Name","CANALS AREA (1000 ha)","TANKS AREA (1000 ha)","TUBE WELLS AREA (1000 ha)","OTHER WELLS AREA (1000 ha)","TOTAL WELLS AREA (1000 ha)","OTHER SOURCES AREA (1000 ha)","NET AREA (1000 ha)","GROSS AREA (1000 ha)"
"1","2016","14","Chhattisgarh","Durg","56.09","1.54","30.9","0.59","31.49","4.99","94.11","117.5"
"1","2017","14","Chhattisgarh","Durg","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"2","2016","14","Chhattisgarh","Bastar","1.17","0.45","2.63","0.15","2.78","2.56","6.96","6.96"
"2","2017","14","Chhattisgarh","Bastar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"3","2016","14","Chhattisgarh","Raipur","113.31","3.18","20.41","0.33","20.74","2.34","139.57","158.92"
"3","2017","14","Chhattisgarh","Raipur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"4","2016","14","Chhattisgarh","Bilaspur","55.49","2.55","21.73","2.36","24.09","0.01","82.13","100.66"
"4","2017","14","Chhattisgarh","Bilaspur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"5","2016","14","Chhattisgarh","Raigarh","18.63","4.72","32.31","0.77","33.09","7.2","63.64","71.96"
"5","2017","14","Chhattisgarh","Raigarh","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"6","2016","14","Chhattisgarh","Surguja","6.88","0.36","0.39","0.85","1.23","7.88","16.36","17.58"
"6","2017","14","Chhattisgarh","Surguja","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"7","2016","6","Madhya Pradesh","Jabalpur","47.01","0.78","97.24","30.9","128.14","23.38","199.3","244.52"
"7","2017","6","Madhya Pradesh","Jabalpur","56.58","0.78","117.92","38.45","156.37","24.55","238.28","283.54"
