"Dist Code","Year","State Code","State Name","Dist Name","DISTRICT MALE FIELD LABOUR (Rs per Day)","DISTRICT FEMALE FIELD LABOUR (Rs per Day)","STATE MALE AVERAGE FIELD LABOUR (Rs per Day)","STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day)"
"1","2016","14","Chhattisgarh","Durg","260.0","-1.0","201.0","-1.0"
"1","2017","14","Chhattisgarh","Durg","246.0","-1.0","200.0","-1.0"
"2","2016","14","Chhattisgarh","Bastar","150.0","-1.0","201.0","-1.0"
"2","2017","14","Chhattisgarh","Bastar","262.5","-1.0","200.0","-1.0"
"3","2016","14","Chhattisgarh","Raipur","300.0","-1.0","201.0","-1.0"
"3","2017","14","Chhattisgarh","Raipur","300.0","-1.0","200.0","-1.0"
"4","2016","14","Chhattisgarh","Bilaspur","300.0","-1.0","201.0","-1.0"
"4","2017","14","Chhattisgarh","Bilaspur","300.0","-1.0","200.0","-1.0"
"5","2016","14","Chhattisgarh","Raigarh","189.17","-1.0","201.0","-1.0"
"5","2017","14","Chhattisgarh","Raigarh","253.64","-1.0","200.0","-1.0"
"6","2016","14","Chhattisgarh","Surguja","235.0","-1.0","201.0","-1.0"
"6","2017","14","Chhattisgarh","Surguja","-1.0","-1.0","200.0","-1.0"
"7","2016","6","Madhya Pradesh","Jabalpur","261.43","-1.0","230.0","-1.0"
"7","2017","6","Madhya Pradesh","Jabalpur","341.67","-1.0","246.0","-1.0"
"8","2016","6","Madhya Pradesh","Balaghat","150.0","-1.0","230.0","-1.0"
"8","2017","6","Madhya Pradesh","Balaghat","150.0","-1.0","246.0","-1.0"
"9","2016","6","Madhya Pradesh","Chhindwara","200.0","-1.0","230.0","-1.0"
"9","2017","6","Madhya Pradesh","Chhindwara","242.73","-1.0","246.0","-1.0"
"10","2016","6","Madhya Pradesh","Narsinghpur","174.29","-1.0","230.0","-1.0"
"10","2017","6","Madhya Pradesh","Narsinghpur","178.89","-1.0","246.0","-1.0"
"11","2016","6","Madhya Pradesh","Seoni","150.0","-1.0","230.0","-1.0"
"11","2017","6","Madhya Pradesh","Seoni","150.0","-1.0","246.0","-1.0"
"12","2016","6","Madhya Pradesh","Mandla","150.0","-1.0","230.0","-1.0"
"12","2017","6","Madhya Pradesh","Mandla","150.0","-1.0","246.0","-1.0"
"13","2016","6","Madhya Pradesh","Sagar","-1.0","-1.0","230.0","-1.0"
"13","2017","6","Madhya Pradesh","Sagar","-1.0","-1.0","246.0","-1.0"
"14","2016","6","Madhya Pradesh","Damoh","141.0","-1.0","230.0","-1.0"
"14","2017","6","Madhya Pradesh","Damoh","150.0","-1.0","246.0","-1.0"
"15","2016","6","Madhya Pradesh","Tikamgarh","650.0","-1.0","230.0","-1.0"
"15","2017","6","Madhya Pradesh","Tikamgarh","625.0","-1.0","246.0","-1.0"
"16","2016","6","Madhya Pradesh","Chhatarpur","200.0","-1.0","230.0","-1.0"
"16","2017","6","Madhya Pradesh","Chhatarpur","200.0","-1.0","246.0","-1.0"
"17","2016","6","Madhya Pradesh","Panna","200.0","-1.0","230.0","-1.0"
"17","2017","6","Madhya Pradesh","Panna","200.0","-1.0","246.0","-1.0"
"18","2016","6","Madhya Pradesh","Rewa","300.0","-1.0","230.0","-1.0"
"18","2017","6","Madhya Pradesh","Rewa","300.0","-1.0","246.0","-1.0"
"19","2016","6","Madhya Pradesh","Sidhi","271.43","-1.0","230.0","-1.0"
"19","2017","6","Madhya Pradesh","Sidhi","300.0","-1.0","246.0","-1.0"
"20","2016","6","Madhya Pradesh","Satna","204.55","-1.0","230.0","-1.0"
"20","2017","6","Madhya Pradesh","Satna","200.0","-1.0","246.0","-1.0"
"21","2016","6","Madhya Pradesh","Shahdol","201.67","-1.0","230.0","-1.0"
"21","2017","6","Madhya Pradesh","Shahdol","210.0","-1.0","246.0","-1.0"
"22","2016","6","Madhya Pradesh","Gwalior","300.0","-1.0","230.0","-1.0"
"22","2017","6","Madhya Pradesh","Gwalior","300.0","-1.0","246.0","-1.0"
"23","2016","6","Madhya Pradesh","Shivpuri","335.0","-1.0","230.0","-1.0"
"23","2017","6","Madhya Pradesh","Shivpuri","300.0","-1.0","246.0","-1.0"
"24","2016","6","Madhya Pradesh","Guna","400.0","-1.0","230.0","-1.0"
"24","2017","6","Madhya Pradesh","Guna","420.0","-1.0","246.0","-1.0"
"25","2016","6","Madhya Pradesh","Datia","300.0","-1.0","230.0","-1.0"
"25","2017","6","Madhya Pradesh","Datia","300.0","-1.0","246.0","-1.0"
"26","2016","6","Madhya Pradesh","Morena","-1.0","-1.0","230.0","-1.0"
"26","2017","6","Madhya Pradesh","Morena","475.0","-1.0","246.0","-1.0"
"27","2016","6","Madhya Pradesh","Bhind","300.0","-1.0","230.0","-1.0"
"27","2017","6","Madhya Pradesh","Bhind","300.0","-1.0","246.0","-1.0"
"28","2016","6","Madhya Pradesh","Indore","300.0","-1.0","230.0","-1.0"
"28","2017","6","Madhya Pradesh","Indore","350.0","-1.0","246.0","-1.0"
"29","2016","6","Madhya Pradesh","Ratlam","300.0","-1.0","230.0","-1.0"
"29","2017","6","Madhya Pradesh","Ratlam","220.0","-1.0","246.0","-1.0"
"30","2016","6","Madhya Pradesh","Ujjain","200.0","-1.0","230.0","-1.0"
"30","2017","6","Madhya Pradesh","Ujjain","200.0","-1.0","246.0","-1.0"
"31","2016","6","Madhya Pradesh","Mandsaur","-1.0","-1.0","230.0","-1.0"
"31","2017","6","Madhya Pradesh","Mandsaur","-1.0","-1.0","246.0","-1.0"
"32","2016","6","Madhya Pradesh","Dewas","316.67","-1.0","230.0","-1.0"
"32","2017","6","Madhya Pradesh","Dewas","350.0","-1.0","246.0","-1.0"
"33","2016","6","Madhya Pradesh","Dhar","296.0","-1.0","230.0","-1.0"
"33","2017","6","Madhya Pradesh","Dhar","283.33","-1.0","246.0","-1.0"
"34","2016","6","Madhya Pradesh","Jhabua","200.0","-1.0","230.0","-1.0"
"34","2017","6","Madhya Pradesh","Jhabua","200.0","-1.0","246.0","-1.0"
"35","2016","6","Madhya Pradesh","Khargone","250.0","-1.0","230.0","-1.0"
"35","2017","6","Madhya Pradesh","Khargone","250.0","-1.0","246.0","-1.0"
"36","2016","6","Madhya Pradesh","Khandwa","-1.0","-1.0","230.0","-1.0"
"36","2017","6","Madhya Pradesh","Khandwa","-1.0","-1.0","246.0","-1.0"
"37","2016","6","Madhya Pradesh","Sehore","220.0","-1.0","230.0","-1.0"
"37","2017","6","Madhya Pradesh","Sehore","208.0","-1.0","246.0","-1.0"
"38","2016","6","Madhya Pradesh","Raisen","-1.0","-1.0","230.0","-1.0"
"38","2017","6","Madhya Pradesh","Raisen","-1.0","-1.0","246.0","-1.0"
"39","2016","6","Madhya Pradesh","Vidisha","200.0","-1.0","230.0","-1.0"
"39","2017","6","Madhya Pradesh","Vidisha","200.0","-1.0","246.0","-1.0"
"40","2016","6","Madhya Pradesh","Betul","400.0","-1.0","230.0","-1.0"
"40","2017","6","Madhya Pradesh","Betul","421.43","-1.0","246.0","-1.0"
"41","2016","6","Madhya Pradesh","Rajgarh","250.0","-1.0","230.0","-1.0"
"41","2017","6","Madhya Pradesh","Rajgarh","250.0","-1.0","246.0","-1.0"
"42","2016","6","Madhya Pradesh","Shajapur","231.25","-1.0","230.0","-1.0"
"42","2017","6","Madhya Pradesh","Shajapur","-1.0","-1.0","246.0","-1.0"
